STT,MSV,GPA
1,B19DCCN317,3.88
2,B19DCCN431,3.84
3,B19DCCN245,3.82
4,B19DCCN083,3.77
5,B19DCCN314,3.74
5,B19DCCN684,3.74
5,B19DCCN268,3.74
5,B19DCCN171,3.74
9,B19DCCN135,3.73
10,B19DCCN008,3.72
10,B19DCCN716,3.72
12,B19DCCN112,3.71
13,B19DCCN460,3.7
14,B19DCCN150,3.69
15,B19DCCN389,3.68
15,B19DCCN299,3.68
17,B19DCCN686,3.66
17,B19DCCN263,3.66
17,B19DCCN258,3.66
20,B19DCCN439,3.64
20,B19DCCN411,3.64
20,B19DCCN025,3.64
23,B19DCCN331,3.62
24,B19DCCN626,3.6
24,B19DCCN301,3.6
24,B19DCCN596,3.6
24,B19DCCN226,3.6
24,B19DCCN587,3.6
29,B19DCCN374,3.59
30,B19DCCN333,3.58
30,B19DCCN321,3.58
30,B19DCCN043,3.58
30,B19DCCN255,3.58
30,B19DCCN709,3.58
35,B19DCCN685,3.57
36,B19DCCN514,3.56
37,B19DCCN286,3.55
38,B19DCCN632,3.54
38,B19DCCN428,3.54
38,B19DCCN121,3.54
38,B19DCCN133,3.54
42,B19DCCN481,3.53
42,B19DCCN553,3.53
42,B19DCCN272,3.53
42,B19DCCN456,3.53
46,B19DCCN452,3.52
46,B19DCCN049,3.52
48,B19DCCN192,3.51
49,B19DCCN482,3.5
49,B19DCCN711,3.5
49,B19DCCN345,3.5
49,B19DCCN604,3.5
49,B19DCCN128,3.5
49,B19DCCN722,3.5
49,B19DCCN021,3.5
56,B19DCCN522,3.48
56,B19DCCN378,3.48
56,B19DCCN470,3.48
56,B19DCCN339,3.48
60,B19DCCN142,3.46
61,B19DCCN067,3.44
61,B19DCCN457,3.44
61,B19DCCN057,3.44
64,B19DCCN304,3.43
64,B19DCCN488,3.43
64,B19DCCN306,3.43
67,B19DCCN356,3.42
67,B19DCCN469,3.42
69,B19DCCN402,3.41
69,B19DCCN351,3.41
71,B19DCCN689,3.4
71,B19DCCN044,3.4
71,B19DCCN151,3.4
71,B19DCCN608,3.4
75,B19DCCN237,3.39
75,B19DCCN660,3.39
77,B19DCCN479,3.38
77,B19DCCN236,3.38
77,B19DCCN570,3.38
77,B19DCCN019,3.38
77,B19DCCN388,3.38
77,B19DCCN119,3.38
77,B19DCCN046,3.38
84,B19DCCN639,3.37
84,B19DCCN669,3.37
86,B19DCCN124,3.35
87,B19DCCN646,3.34
87,B19DCCN441,3.34
87,B19DCCN052,3.34
87,B19DCCN621,3.34
91,B19DCCN120,3.33
91,B19DCCN254,3.33
91,B19DCCN562,3.33
91,B19DCCN173,3.33
95,B19DCCN607,3.32
95,B19DCCN279,3.32
97,B19DCCN134,3.3
97,B19DCCN234,3.3
97,B19DCCN574,3.3
97,B19DCCN582,3.3
97,B19DCCN442,3.3
97,B19DCCN567,3.3
97,B19DCCN420,3.3
97,B19DCCN100,3.3
97,B19DCCN281,3.3
97,B19DCCN048,3.3
97,B19DCCN417,3.3
108,B19DCCN617,3.29
108,B19DCCN212,3.29
110,B19DCCN505,3.28
110,B19DCCN221,3.28
110,B19DCCN290,3.28
113,B19DCCN396,3.27
113,B19DCCN186,3.27
113,B19DCCN357,3.27
113,B19DCCN233,3.27
113,B19DCCN586,3.27
118,B19DCCN078,3.26
118,B19DCCN620,3.26
120,B19DCCN506,3.25
121,B19DCCN713,3.24
121,B19DCCN332,3.24
121,B19DCCN387,3.24
121,B19DCCN392,3.24
121,B19DCCN260,3.24
121,B19DCCN490,3.24
127,B19DCCN110,3.23
128,B19DCCN169,3.22
128,B19DCCN466,3.22
130,B19DCCN507,3.2
130,B19DCCN566,3.2
130,B19DCCN625,3.2
130,B19DCCN178,3.2
134,B19DCCN473,3.19
134,B19DCCN010,3.19
134,B19DCCN111,3.19
137,B19DCCN026,3.18
137,B19DCCN326,3.18
137,B19DCCN327,3.18
140,B19DCCN278,3.16
140,B19DCCN430,3.16
140,B19DCCN311,3.16
143,B19DCCN213,3.15
144,B19DCCN680,3.14
144,B19DCCN497,3.14
144,B19DCCN598,3.14
144,B19DCCN642,3.14
144,B19DCCN386,3.14
144,B19DCCN573,3.14
144,B19DCCN348,3.14
144,B19DCCN275,3.14
144,B19DCCN204,3.14
153,B19DCCN688,3.11
154,B19DCCN527,3.1
154,B19DCCN536,3.1
154,B19DCCN446,3.1
154,B19DCCN555,3.1
154,B19DCCN153,3.1
154,B19DCCN276,3.1
154,B19DCCN670,3.1
161,B19DCCN494,3.09
161,B19DCCN280,3.09
163,B19DCCN080,3.08
163,B19DCCN262,3.08
163,B19DCCN463,3.08
163,B19DCCN170,3.08
163,B19DCCN303,3.08
163,B19DCCN413,3.08
163,B19DCCN252,3.08
170,B19DCCN559,3.07
171,B19DCCN066,3.06
172,B19DCCN701,3.05
172,B19DCCN379,3.05
172,B19DCCN251,3.05
172,B19DCCN427,3.05
172,B19DCCN359,3.05
177,B19DCCN350,3.04
178,B19DCCN569,3.03
178,B19DCCN723,3.03
178,B19DCCN353,3.03
178,B19DCCN056,3.03
178,B19DCCN699,3.03
183,B19DCCN512,3.01
183,B19DCCN084,3.01
183,B19DCCN195,3.01
183,B19DCCN556,3.01
187,B19DCCN652,3.0
187,B19DCCN645,3.0
187,B19DCCN179,3.0
187,B19DCCN502,3.0
187,B19DCCN239,3.0
187,B19DCCN681,3.0
187,B19DCCN040,3.0
187,B19DCCN429,3.0
187,B19DCCN630,3.0
187,B19DCCN022,3.0
187,B19DCCN036,3.0
198,B19DCCN338,2.98
198,B19DCCN380,2.98
198,B19DCCN123,2.98
201,B19DCCN532,2.95
201,B19DCCN182,2.95
201,B19DCCN087,2.95
201,B19DCCN535,2.95
201,B19DCCN690,2.95
206,B19DCCN297,2.94
206,B19DCCN692,2.94
208,B19DCCN143,2.93
208,B19DCCN376,2.93
210,B19DCCN224,2.92
210,B19DCCN282,2.92
212,B19DCCN117,2.9
212,B19DCCN600,2.9
212,B19DCCN618,2.9
212,B19DCCN365,2.9
212,B19DCCN023,2.9
212,B19DCCN438,2.9
212,B19DCCN468,2.9
212,B19DCCN542,2.9
212,B19DCCN406,2.9
212,B19DCCN013,2.9
222,B19DCCN381,2.89
222,B19DCCN060,2.89
222,B19DCCN094,2.89
225,B19DCCN039,2.88
225,B19DCCN159,2.88
225,B19DCCN650,2.88
228,B19DCCN426,2.87
228,B19DCCN075,2.87
228,B19DCCN603,2.87
231,B19DCCN371,2.85
231,B19DCCN640,2.85
233,B19DCCN193,2.84
233,B19DCCN273,2.84
233,B19DCCN001,2.84
233,B19DCCN081,2.84
233,B19DCCN526,2.84
233,B19DCCN710,2.84
233,B19DCCN092,2.84
233,B19DCCN408,2.84
233,B19DCCN206,2.84
233,B19DCCN310,2.84
233,B19DCCN200,2.84
244,B19DCCN372,2.82
244,B19DCCN462,2.82
244,B19DCCN098,2.82
244,B19DCCN165,2.82
244,B19DCCN521,2.82
244,B19DCCN358,2.82
244,B19DCCN194,2.82
244,B19DCCN577,2.82
252,B19DCCN404,2.8
252,B19DCCN320,2.8
252,B19DCCN638,2.8
252,B19DCCN187,2.8
252,B19DCCN647,2.8
252,B19DCCN269,2.8
252,B19DCCN107,2.8
259,B19DCCN421,2.79
259,B19DCCN157,2.79
259,B19DCCN664,2.79
259,B19DCCN302,2.79
259,B19DCCN106,2.79
259,B19DCCN418,2.79
259,B19DCCN675,2.79
266,B19DCCN702,2.77
266,B19DCCN298,2.77
268,B19DCCN027,2.76
268,B19DCCN478,2.76
268,B19DCCN253,2.76
268,B19DCCN448,2.76
268,B19DCCN369,2.76
268,B19DCCN579,2.76
268,B19DCCN230,2.76
268,B19DCCN616,2.76
276,B19DCCN267,2.75
276,B19DCCN162,2.75
278,B19DCCN541,2.74
278,B19DCCN435,2.74
278,B19DCCN248,2.74
278,B19DCCN054,2.74
278,B19DCCN307,2.74
278,B19DCCN164,2.74
278,B19DCCN474,2.74
285,B19DCCN220,2.72
285,B19DCCN031,2.72
285,B19DCCN175,2.72
285,B19DCCN523,2.72
285,B19DCCN565,2.72
290,B19DCCN118,2.71
290,B19DCCN238,2.71
290,B19DCCN180,2.71
290,B19DCCN312,2.71
294,B19DCCN375,2.7
294,B19DCCN517,2.7
294,B19DCCN511,2.7
294,B19DCCN538,2.7
294,B19DCCN543,2.7
294,B19DCCN232,2.7
294,B19DCCN328,2.7
294,B19DCCN115,2.7
294,B19DCCN545,2.7
294,B19DCCN077,2.7
294,B19DCCN377,2.7
294,B19DCCN243,2.7
294,B19DCCN061,2.7
307,B19DCCN730,2.69
307,B19DCCN549,2.69
309,B19DCCN242,2.68
309,B19DCCN612,2.68
309,B19DCCN188,2.68
309,B19DCCN609,2.68
309,B19DCCN020,2.68
309,B19DCCN576,2.68
315,B19DCCN235,2.67
316,B19DCCN445,2.66
316,B19DCCN405,2.66
318,B19DCCN131,2.64
318,B19DCCN425,2.64
318,B19DCCN437,2.64
318,B19DCCN551,2.64
318,B19DCCN580,2.64
318,B19DCCN373,2.64
324,B19DCCN700,2.63
324,B19DCCN093,2.63
324,B19DCCN313,2.63
327,B19DCCN342,2.62
